"","headers","title","date","link"
"27","Филипе Луис: Месси должен выигрывать Золотой мяч каждый год","Хавбек прокомментировал свои выступления в испанском клубе.","07 апреля 2020, 11:05","https://football.ua/spain/419168-de-jjong-mojj-luchshijj-match-za-barselonu-eshhe-vperedi.html"
"28","Кроос: Снижение зарплат — напрасное пожертвование","Главный тренер сборной Нидерландов рассказал о своих взглядах на футбол, а также обсудил потенциальное возвращение в Барселону.","07 апреля 2020, 11:00","https://football.ua/spain/418329-ronald-kuman-nadejus-ja-odnazhdy-vozglavlju-barselonu.html"
"29","Чемпионат Испании предложили завершить на Канарах","""Сливочные"" готовят предложение дортмундской Боруссии.","07 апреля 2020, 10:14","https://football.ua/spain/419166-real-gotov-predlozhit-jjovicha-v-obmen-na-kholanda.html"
"30","Барселона может подписать Онана","Полузащитник Реала продолжает восстанавливаться после травмы.","07 апреля 2020, 09:39","https://football.ua/spain/419163-azar-budet-gotov-igrat-v-konce-maja-as.html"
"31","Атлетико определился с кандидатурами на роль сменщика Облака","Каталонский клуб хочет подписать игрока Милана.","07 апреля 2020, 09:28","https://football.ua/spain/419162-barselona-gotovit-predlozhenie-po-ehrnandesu.html"
"32","На Хакими претендует семь команд","Сербскому специалисту был 71 год.","06 апреля 2020, 21:28","https://football.ua/spain/419141-umer-byvshijj-trener-atletiko-radomir-antich.html"
"33","Суарес: Подписание Лаутаро? В команде всегда должна быть здоровая конкуренция","Испанский защитник ждет возможности проявить себя в стане мадридцев.","06 апреля 2020, 20:41","https://football.ua/spain/419137-odriosola-chuvstvuju-doverie-zidana-moe-vremja-v-reale-pridet.html"
"34","У Бартомеу конфликт с вице-президентами Барселоны","Защитник Бетиса может сменить клубную прописку ближайшим летом.","06 апреля 2020, 18:10","https://football.ua/spain/419127-atletiko-zainteresovalsja-mandi.html"
"35","Севилья сократила на 70% зарплату игрокам и тренерам","Французский хавбек должен определиться со своим будущим предстоящим летом.","06 апреля 2020, 12:59","https://football.ua/spain/419101-rajjola-nameren-sovershit-perekhod-pogba-v-real-as.html"
"36","Барселона хочет вернуть Эмерсона из Бетиса","Функционер подчеркнул, что данная идея чревата миллиардными убытками.","06 апреля 2020, 12:57","https://football.ua/spain/419102-tebas-nazval-nedostatki-okonchanija-sezona-v-dekabre.html"
"37","Барселона готова обменять Ракитича и Умтити на Бернардески","Также инфицировано два тренера.","06 апреля 2020, 12:23","https://football.ua/spain/419099-v-ehspanole-vosem-zarazhennykh-koronavirusom-igrokov.html"
"38","Иньеста не исключил возвращение в Барселону","Football.ua вспоминает состав мадридского клуба, который выиграл последний на данный момент чемпионский титул.","06 апреля 2020, 12:05","https://football.ua/spain/419035-poslednijj-neklassicheskijj-chempion-kak-slozhilas-sudba-zolotogo-atletiko-2014.html"
"39","Касильяс: Уверен, что когда-нибудь вернусь в Реал","Мексиканец не получает должной практики в неаполитанском клубе.","06 апреля 2020, 11:29","https://football.ua/spain/419095-atletiko-i-valensija-sledjat-za-losano.html"
"40","Зидан по-прежнему хочет заполучить Мбаппе перед следующим сезоном","""Сливочные"" хотят опередить конкурентов в гонке за полузащитником Наполи.","06 апреля 2020, 10:35","https://football.ua/spain/419091-real-nameren-vkljuchit-lukasa-vaskesa-v-sdelku-po-fabianu-ruisu.html"
"41","Филипе Луис: Месси должен выигрывать Золотой мяч каждый год","Французский форвард входит в дальнейшие планы ""сине-гранатовых"".","06 апреля 2020, 08:37","https://football.ua/spain/419084-barselona-ne-rassmatrivaet-prodazhu-grizmanna-letom-marca.html"
"42","Кроос: Снижение зарплат — напрасное пожертвование","Матеріал Володимира Войтюка про одного з найхаризматичніших тренерів в історії футболу.","06 апреля 2020, 06:30","https://football.ua/spain/419072-elenio-errera-spravzhnijj-the-special-one-chastina-i.html"
"43","Чемпионат Испании предложили завершить на Канарах","Мадридский клуб ищет пути уменьшения расходов из-за кризиса.","05 апреля 2020, 21:58","https://football.ua/spain/419066-real-gotov-prodat-igrokov-chtoby-sokratit-raskhody-po-zarplate.html"
"44","Барселона может подписать Онана","Каталонцы собираются усилить атаку нидерландскими игроками.","05 апреля 2020, 21:48","https://football.ua/spain/419065-barselona-sledit-za-tremja-igrokami-iz-ehredevizi.html"
"45","Атлетико определился с кандидатурами на роль сменщика Облака","Защитник Ювентуса может сменить клубную прописку.","05 апреля 2020, 18:16","https://football.ua/spain/419049-rajjola-predlozhit-de-ligta-realu.html"
"46","На Хакими претендует семь команд","Испанские команды желают усилиться игроком Ривер Плейт.","05 апреля 2020, 16:26","https://football.ua/spain/419041-real-i-valensija-nacelilis-na-argentinskogo-zashhitnika-lukasa-martinesa.html"
"47","Суарес: Подписание Лаутаро? В команде всегда должна быть здоровая конкуренция","Кандидат в президенты Королевской федерации футбола Испании высказал свое мнение.","05 апреля 2020, 15:53","https://football.ua/spain/419039-kasiljas-predlozhil-la-lige-zakonchit-sezon-v-dekabre-chtoby-podstroitsja-pod-chempionat-mira.html"
"48","У Бартомеу конфликт с вице-президентами Барселоны","Севильский клуб хочет заполучить молодого хавбека.","05 апреля 2020, 15:32","https://football.ua/spain/419038-betis-nacelilsja-na-khavbeka-atletiko-rikelme.html"
"49","Севилья сократила на 70% зарплату игрокам и тренерам","У игрока все больше шансов покинуть Милан.","05 апреля 2020, 13:28","https://football.ua/spain/419029-barselona-gotova-poborotsja-za-lacio-za-romanoli.html"
"50","Барселона хочет вернуть Эмерсона из Бетиса","Уругваец таки хочет попасть в Мадрид.","05 апреля 2020, 12:56","https://football.ua/spain/419027-kavani-sklonjaetsja-k-perekhodu-v-atletiko.html"
"51","Барселона готова обменять Ракитича и Умтити на Бернардески","""Нервионцы"" видят швейцарца в своей команде.","05 апреля 2020, 11:50","https://football.ua/spain/419022-sevilja-khochet-perebit-predlozhenija-konkurentov-po-shakiri.html"
"52","Иньеста не исключил возвращение в Барселону","""Небесные"" хотят подписать игроков на постоянной основе.","05 апреля 2020, 10:22","https://football.ua/spain/419016-selta-khochet-vykupit-rafinju-i-murilo.html"
"53","Касильяс: Уверен, что когда-нибудь вернусь в Реал","Вратарь поделился своими планами на будущее.","05 апреля 2020, 09:37","https://football.ua/spain/419013-zhoze-sa-gotov-k-perekhodu-v-atletiko.html"
"54","Зидан по-прежнему хочет заполучить Мбаппе перед следующим сезоном","Экс-хавбек высказал свое мнение о самых выдающихся футболистов.","05 апреля 2020, 08:59","https://football.ua/spain/419011-khavi-messi-luchshijj-igrok-v-istorii-dalshe-sleduet-ronaldino.html"
"55","Филипе Луис: Месси должен выигрывать Золотой мяч каждый год","Бразилец не сомневается в своем желании вновь играть на Камп Ноу.","05 апреля 2020, 08:15","https://football.ua/spain/419009-nejjmar-gotov-vernutsja-v-barselonu.html"
"56","Кроос: Снижение зарплат — напрасное пожертвование","Украинский футболист решил помочь городской больнице.","04 апреля 2020, 22:58","https://football.ua/spain/418997-zozulja-kupil-oborudovanie-dlja-bolnicy-albasete.html"
